nome;cognome;username;password;domicilio;ruolo
Mario;Rossi;mrossi;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Varese;CLIENTE
Luca;Bianchi;lbianchi;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Milano;PROIEZIONISTA
Anna;Verdi;averdi;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Como;PROIEZIONISTA
Carlo;Neri;cneri;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Varese;BIGLIETTAIO
Sara;Bruno;sbruno;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Como;BIGLIETTAIO
Paolo;Ferrari;pferrari;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Milano;BIGLIETTAIO
Giulia;Marino;gmarino;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Varese;BIGLIETTAIO
Laura;Conti;lconti;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Como;BIGLIETTAIO
Marco;Verdi;mverdi;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Varese;CLIENTE
Samuele;Caputo;scaputo;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Luino;CLIENTE
Alessandra;Larghi;alarghi;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;Voldomino;CLIENTE
